,ds,yhat_upper,yhat
1187,2024-11-21,2.0,1.0
1188,2024-11-22,2.0,1.0
1189,2024-11-23,2.0,1.0
1190,2024-11-24,2.0,1.0
1191,2024-11-25,2.0,1.0
1192,2024-11-26,2.0,1.0
1193,2024-11-27,2.0,1.0
1194,2024-11-28,2.0,1.0
1195,2024-11-29,2.0,0.0
1196,2024-11-30,2.0,1.0
1197,2024-12-01,2.0,1.0
1198,2024-12-02,2.0,1.0
1199,2024-12-03,2.0,1.0
1200,2024-12-04,2.0,1.0
1201,2024-12-05,2.0,0.0
1202,2024-12-06,1.0,0.0
1203,2024-12-07,1.0,0.0
1204,2024-12-08,2.0,0.0
1205,2024-12-09,2.0,1.0
1206,2024-12-10,2.0,1.0
1207,2024-12-11,2.0,1.0
1208,2024-12-12,2.0,0.0
1209,2024-12-13,1.0,0.0
1210,2024-12-14,1.0,0.0
1211,2024-12-15,1.0,0.0
1212,2024-12-16,2.0,1.0
1213,2024-12-17,2.0,1.0
1214,2024-12-18,2.0,1.0
1215,2024-12-19,1.0,0.0
1216,2024-12-20,1.0,0.0
1217,2024-12-21,1.0,0.0
1218,2024-12-22,1.0,0.0
1219,2024-12-23,2.0,1.0
1220,2024-12-24,2.0,1.0
1221,2024-12-25,2.0,1.0
1222,2024-12-26,1.0,0.0
1223,2024-12-27,1.0,0.0
1224,2024-12-28,1.0,0.0
1225,2024-12-29,2.0,0.0
1226,2024-12-30,2.0,1.0
1227,2024-12-31,2.0,1.0
1228,2025-01-01,2.0,1.0
1229,2025-01-02,1.0,0.0
1230,2025-01-03,1.0,0.0
1231,2025-01-04,2.0,0.0
1232,2025-01-05,2.0,0.0
1233,2025-01-06,2.0,1.0
1234,2025-01-07,2.0,1.0
1235,2025-01-08,2.0,1.0
1236,2025-01-09,1.0,0.0
1237,2025-01-10,1.0,0.0
1238,2025-01-11,2.0,1.0
1239,2025-01-12,2.0,1.0
1240,2025-01-13,2.0,1.0
1241,2025-01-14,2.0,1.0
1242,2025-01-15,2.0,1.0
1243,2025-01-16,2.0,0.0
1244,2025-01-17,1.0,0.0
1245,2025-01-18,2.0,1.0
